AtomicNumber,Symbol,Name,AtomicMass,Group,Period,Category
87,Fr,Francium,223,1,7,Alkali Metals
88,Ra,Radium,226,2,7,Alkaline Earth Metals
89,Ac,Actinium,227,4,10,Actinoids
90,Th,Thorium,232.0377,5,10,Actinoids
91,Pa,Protactinium,231.03588,6,10,Actinoids
92,U,Uranium,238.02891,7,10,Actinoids
93,Np,Neptunium,237,8,10,Actinoids
94,Pu,Plutonium,244,9,10,Actinoids
95,Am,Americium,243,10,10,Actinoids
96,Cm,Curium,247,11,10,Actinoids
97,Bk,Berkelium,247,12,10,Actinoids
98,Cf,Californium,251,13,10,Actinoids
99,Es,Einsteinium,252,14,10,Actinoids
100,Fm,Fermium,257,15,10,Actinoids
101,Md,Mendelevium,258,16,10,Actinoids
102,No,Nobelium,259,17,10,Actinoids
103,Lr,Lawrencium,262,18,10,Actinoids
104,Rf,Rutherfordium,267,4,7,Transition Metals
105,Db,Dubnium,270,5,7,Transition Metals
106,Sg,Seaborgium,271,6,7,Transition Metals
107,Bh,Bohrium,270,7,7,Transition Metals
108,Hs,Hassium,277,8,7,Transition Metals
109,Mt,Meitnerium,278,9,7,N/A
110,Ds,Darmstadtium,281,10,7,N/A
111,Rg,Roentgenium,282,11,7,N/A
112,Cn,Copernicium,285,12,7,N/A
113,Nh,Nihonium,286,13,7,N/A
114,Fl,Flerovium,289,14,7,N/A
115,Mc,Moscovium,290,15,7,N/A
116,Lv,Livermorium,293,16,7,N/A
117,Ts,Tennessine,294,17,7,N/A
118,Og,Oganesson,294,18,7,N/A
